CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Payment_Method,Churn
CUST00047,79,38,119.91,1405.41,Two year,Fiber optic,No,No,No internet,No internet,Yes,No internet,No,Credit card,0
CUST00048,64,50,34.7,4705.58,Two year,No,Yes,No internet,Yes,No,Yes,No,No,Bank transfer,0
CUST00049,79,30,123.42,7997.74,Two year,DSL,No,No internet,No internet,No internet,Yes,Yes,No,Credit card,1
CUST00050,68,51,139.43,1289.12,One year,DSL,Yes,No,Yes,Yes,No internet,No,No,Bank transfer,0
CUST00051,61,63,98.08,6552.38,One year,DSL,Yes,No,Yes,Yes,Yes,No,No,Mailed check,0
CUST00052,72,52,142.31,1737.74,Two year,DSL,No internet,No,No,Yes,No,Yes,Yes,Credit card,1
CUST00053,69,38,127.49,6280.87,Month-to-month,Fiber optic,No internet,No internet,Yes,Yes,No internet,No internet,Yes,Bank transfer,0
CUST00054,74,30,106.71,5903.17,Two year,Fiber optic,No internet,No internet,No,No internet,No internet,No internet,No,Credit card,1
CUST00055,20,51,95.03,2473.87,Two year,No,No,Yes,No internet,No,Yes,Yes,No,Mailed check,1
CUST00056,54,5,65.31,2674.0,Month-to-month,No,No internet,Yes,No internet,Yes,Yes,No,No,Credit card,1
CUST00057,68,29,40.71,6360.92,Two year,DSL,Yes,Yes,Yes,No internet,No,No,Yes,Bank transfer,0
CUST00058,24,4,98.64,3745.42,Month-to-month,No,No internet,No internet,No,No,No internet,No,Yes,Credit card,0
CUST00059,38,10,61.35,5873.46,One year,No,No internet,Yes,Yes,Yes,Yes,No internet,No,Credit card,1
CUST00060,26,56,132.64,1269.07,One year,DSL,No,No,No,No,No,No,Yes,Bank transfer,1
CUST00061,56,17,149.13,6835.21,Month-to-month,DSL,No,No,No,Yes,Yes,No internet,Yes,Electronic check,0
CUST00062,35,17,117.82,5715.99,One year,No,Yes,No internet,No,No,No internet,No,Yes,Credit card,1
CUST00063,21,69,31.76,7264.85,One year,Fiber optic,No,Yes,No internet,No,Yes,Yes,No,Credit card,0
CUST00064,42,34,57.53,1145.74,Month-to-month,No,No internet,No,No,Yes,No internet,Yes,Yes,Mailed check,0
CUST00065,77,6,34.18,4784.81,One year,No,No,No internet,No internet,No internet,Yes,No internet,Yes,Electronic check,0
CUST00066,31,53,104.57,4833.05,Two year,Fiber optic,Yes,Yes,No,No,No internet,No internet,No,Mailed check,1
CUST00067,67,66,119.47,2892.34,Two year,Fiber optic,No internet,No,No internet,Yes,No,Yes,No,Bank transfer,0
CUST00068,75,43,140.34,3721.88,Month-to-month,DSL,Yes,Yes,No internet,No,No internet,Yes,Yes,Bank transfer,0
CUST00069,26,23,76.96,400.05,One year,DSL,No,No internet,No internet,No,No,No,No,Mailed check,1
CUST00070,43,55,137.18,5992.29,Two year,No,No,Yes,Yes,No internet,No internet,Yes,Yes,Credit card,0
CUST00071,70,16,134.13,4439.65,Two year,Fiber optic,Yes,No internet,No,No,No,No internet,Yes,Electronic check,0
CUST00072,19,8,61.24,556.15,One year,DSL,No internet,Yes,Yes,No,Yes,Yes,No,Mailed check,0
CUST00073,37,4,132.96,5477.97,One year,No,No,No,No,Yes,No internet,No internet,No,Mailed check,0
CUST00074,45,4,68.84,3787.58,Two year,Fiber optic,No,No internet,No,Yes,Yes,No internet,Yes,Bank transfer,0
CUST00075,64,56,58.59,372.24,Two year,No,No internet,No internet,Yes,No internet,No,No,No,Credit card,1
CUST00076,77,25,104.38,7759.9,Month-to-month,DSL,No,No internet,No internet,No,No internet,No,No,Electronic check,0
CUST00077,24,67,62.69,7597.99,Month-to-month,DSL,Yes,Yes,No,No,No internet,No,Yes,Mailed check,1
CUST00078,61,67,101.93,4151.93,Two year,Fiber optic,No,Yes,No internet,No,Yes,No,Yes,Electronic check,0
CUST00079,78,27,99.28,840.01,Month-to-month,No,No,No,Yes,No internet,No internet,Yes,Yes,Electronic check,0
CUST00080,25,32,93.25,6061.51,Two year,Fiber optic,No internet,No internet,No internet,No,No internet,No,Yes,Mailed check,0
CUST00081,64,50,69.45,3986.26,Two year,DSL,Yes,No internet,No,Yes,Yes,Yes,Yes,Electronic check,0
CUST00082,52,61,91.3,2489.34,Month-to-month,DSL,No internet,Yes,No,No internet,No internet,No,Yes,Bank transfer,0
CUST00083,31,51,97.54,3982.2,Month-to-month,No,No,Yes,No,Yes,Yes,No,No,Credit card,0
CUST00084,34,19,90.94,4227.31,One year,No,No,No,Yes,Yes,Yes,No internet,No,Credit card,0
CUST00085,53,21,77.77,4545.42,One year,No,No internet,No,No,No internet,Yes,Yes,Yes,Credit card,0
CUST00086,67,5,21.91,3585.67,One year,Fiber optic,No internet,Yes,Yes,Yes,Yes,No internet,No,Bank transfer,0
CUST00087,57,42,96.32,4885.47,Two year,No,No internet,No internet,No internet,No,Yes,No,No,Bank transfer,0
CUST00088,21,61,41.9,7358.0,Month-to-month,No,Yes,No,No,No internet,No,Yes,Yes,Bank transfer,1
CUST00089,19,22,103.53,2961.92,Two year,DSL,No,Yes,No,Yes,No,No,No,Credit card,0
CUST00090,79,21,118.71,5833.16,Month-to-month,DSL,No internet,Yes,No,No,Yes,No internet,No,Electronic check,0
CUST00091,23,70,85.06,7166.18,Two year,No,No,No internet,No internet,No,No,Yes,Yes,Bank transfer,1
CUST00092,71,1,90.51,3702.24,One year,No,Yes,Yes,No,Yes,No,No internet,No,Mailed check,1
CUST00093,59,5,143.69,3603.3,One year,DSL,Yes,Yes,Yes,No,No internet,No,No,Bank transfer,0
CUST00094,21,12,130.13,4856.72,One year,No,Yes,No,No internet,No internet,Yes,No,Yes,Mailed check,0
CUST00095,71,46,138.85,4772.11,Two year,Fiber optic,Yes,Yes,No internet,Yes,No,No,No,Credit card,0
CUST00096,46,34,125.79,6472.06,Month-to-month,Fiber optic,No,Yes,No internet,No,No internet,Yes,No,Mailed check,0
CUST00097,35,49,34.16,3864.22,Month-to-month,Fiber optic,Yes,No,No internet,No,No internet,No internet,No,Bank transfer,1
CUST00098,43,45,39.37,7969.37,One year,No,Yes,No internet,No internet,Yes,Yes,No internet,Yes,Bank transfer,1
CUST00099,61,27,88.46,569.83,One year,DSL,No internet,No internet,Yes,Yes,Yes,No,Yes,Electronic check,0
CUST00100,51,26,51.99,125.03,One year,No,Yes,No,No internet,Yes,No internet,No internet,No,Credit card,1
CUST00101,27,47,81.97,5157.57,One year,No,No internet,No,No,Yes,Yes,Yes,No,Mailed check,0
CUST00102,79,56,71.27,2457.64,Month-to-month,DSL,Yes,No internet,No internet,No internet,Yes,No,Yes,Credit card,0
CUST00103,53,63,91.42,1999.02,Two year,DSL,Yes,No internet,No internet,Yes,No internet,No,Yes,Bank transfer,1
CUST00104,31,48,117.09,2564.0,Two year,DSL,No internet,No internet,No internet,No internet,No internet,No,No,Electronic check,0
CUST00105,48,61,113.01,2122.78,Two year,Fiber optic,Yes,No internet,No internet,No internet,Yes,Yes,Yes,Bank transfer,1
CUST00106,65,26,87.76,343.24,Two year,No,No,No internet,No internet,Yes,No,No,No,Bank transfer,1
CUST00107,32,36,126.91,7775.11,One year,DSL,No,No,Yes,No internet,Yes,No,No,Bank transfer,0
CUST00108,25,1,76.01,1843.89,One year,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed check,0
CUST00109,31,8,136.57,5898.84,One year,Fiber optic,No,No internet,No internet,Yes,No internet,No,Yes,Bank transfer,0
CUST00110,40,52,29.27,6124.51,Two year,Fiber optic,No internet,No internet,Yes,No,No,No internet,No,Credit card,0
CUST00111,77,47,144.11,7441.13,One year,DSL,Yes,Yes,No,Yes,No internet,No,No,Credit card,0
CUST00112,74,56,105.11,341.34,One year,DSL,Yes,Yes,No internet,No,Yes,Yes,Yes,Electronic check,0
CUST00113,79,14,69.41,6989.18,Month-to-month,No,No internet,Yes,No,No internet,Yes,No,No,Credit card,1
CUST00114,57,28,45.63,4265.09,Month-to-month,DSL,No internet,Yes,No,No,No internet,No,Yes,Bank transfer,0
CUST00115,38,2,82.29,5097.1,One year,No,No internet,Yes,No internet,No internet,No internet,No internet,Yes,Bank transfer,0
CUST00116,33,26,45.29,5191.32,Month-to-month,DSL,Yes,Yes,No,Yes,No internet,No,Yes,Credit card,0
CUST00117,62,14,41.62,6576.4,Month-to-month,No,No internet,No,No,No internet,Yes,No internet,Yes,Electronic check,1
CUST00118,35,59,100.26,2733.92,One year,No,No internet,Yes,No,No internet,Yes,Yes,Yes,Electronic check,0
CUST00119,64,56,88.0,5891.1,One year,No,No,Yes,No internet,Yes,No,No internet,No,Credit card,0
CUST00120,70,7,107.11,4275.77,One year,No,No,No,No internet,No internet,No internet,No,Yes,Mailed check,1
CUST00121,41,3,140.85,6367.81,One year,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Mailed check,0
CUST00122,43,23,89.19,7925.31,Two year,No,No,No internet,No internet,No,Yes,No,Yes,Mailed check,0
CUST00123,42,18,95.52,1685.14,Two year,DSL,No,No internet,No internet,Yes,No,No internet,Yes,Mailed check,1
CUST00124,77,38,31.65,7957.72,One year,Fiber optic,No internet,Yes,No,Yes,No,Yes,Yes,Credit card,0
CUST00125,77,15,113.29,809.52,Month-to-month,Fiber optic,No internet,No,No internet,No internet,Yes,Yes,Yes,Electronic check,1
CUST00126,77,64,71.99,118.31,One year,No,No,No internet,Yes,No,Yes,No internet,Yes,Bank transfer,0
CUST00127,62,28,146.97,448.88,One year,Fiber optic,No,No,No internet,Yes,No internet,No internet,No,Bank transfer,0
CUST00128,58,39,127.01,2800.08,Month-to-month,No,No,No internet,Yes,No,No,Yes,No,Credit card,1
CUST00129,46,57,87.92,5099.96,Two year,DSL,Yes,Yes,No,No,Yes,Yes,No,Bank transfer,0
CUST00130,32,17,36.02,645.33,One year,No,Yes,No,No internet,No internet,Yes,No internet,No,Mailed check,0
CUST00131,62,44,131.72,144.76,One year,Fiber optic,Yes,No,No,Yes,No,No,Yes,Electronic check,1
CUST00132,18,25,123.97,7503.02,Two year,DSL,No,No,No,No internet,Yes,Yes,No,Credit card,1
CUST00133,42,17,44.0,6593.22,Two year,No,No,No internet,No,Yes,No internet,No internet,Yes,Electronic check,1
CUST00134,24,13,58.39,6492.55,Month-to-month,DSL,Yes,No internet,No,No,No internet,No,No,Credit card,0
CUST00135,26,25,123.14,7086.95,Two year,DSL,Yes,No internet,No,Yes,No,Yes,No,Credit card,0
CUST00136,41,68,44.08,5630.27,Two year,Fiber optic,No,Yes,No internet,Yes,No internet,Yes,Yes,Credit card,0
CUST00137,18,10,139.31,924.79,Two year,DSL,No internet,No internet,Yes,No,Yes,No internet,Yes,Credit card,0
CUST00138,61,67,75.19,3252.89,Month-to-month,Fiber optic,Yes,Yes,No internet,No,Yes,No,No,Electronic check,1
CUST00139,25,18,31.32,5812.88,Two year,DSL,No,No,No internet,Yes,Yes,Yes,No,Bank transfer,0
CUST00140,41,34,126.05,2314.64,Two year,No,No,No,No internet,No internet,Yes,No,No,Credit card,0
CUST00141,28,8,68.56,5530.51,Month-to-month,DSL,No internet,Yes,No internet,Yes,No,No,No,Mailed check,0
CUST00142,68,40,88.44,293.54,Two year,No,No,No internet,Yes,No,No internet,Yes,Yes,Credit card,0
CUST00143,34,42,34.6,2518.48,Two year,No,No,Yes,No internet,No internet,No internet,No,No,Electronic check,1
CUST00144,25,41,20.34,4438.13,Month-to-month,DSL,Yes,No,No,No,Yes,Yes,No,Credit card,0
CUST00145,52,6,102.94,5093.51,One year,No,Yes,No,No internet,No,No,No,No,Mailed check,0
CUST00146,52,52,86.97,4658.62,Month-to-month,DSL,No internet,Yes,No internet,No internet,Yes,Yes,No,Electronic check,1
CUST00147,50,26,97.16,5612.27,Two year,DSL,No internet,No internet,Yes,No,Yes,No internet,No,Credit card,0
CUST00148,76,64,123.19,148.1,Two year,No,No,No internet,Yes,No,No,Yes,Yes,Mailed check,0
CUST00149,22,59,104.06,897.44,Two year,No,Yes,Yes,No,No,No,Yes,Yes,Electronic check,0
CUST00150,59,56,42.72,6964.66,Month-to-month,Fiber optic,No internet,Yes,No internet,No,Yes,Yes,Yes,Credit card,0
CUST00151,56,59,66.9,5485.81,Two year,No,No internet,No internet,No internet,No,No internet,No,Yes,Mailed check,0
CUST00152,75,70,137.77,992.16,Two year,Fiber optic,No internet,No,No internet,No,Yes,No internet,Yes,Electronic check,1
CUST00153,58,33,120.09,6752.39,Month-to-month,No,No,Yes,No,No,No internet,No,No,Credit card,0
CUST00154,45,53,92.36,2013.63,One year,DSL,Yes,No internet,Yes,No,No internet,No,Yes,Electronic check,1
CUST00155,24,22,53.23,3878.25,One year,No,No internet,No internet,No,No,No,Yes,Yes,Mailed check,1
CUST00156,26,21,59.27,1247.05,Two year,DSL,Yes,No,No internet,Yes,No,No,No,Credit card,0
CUST00157,25,70,115.15,5709.87,Month-to-month,DSL,No internet,No,Yes,Yes,Yes,Yes,Yes,Credit card,0
CUST00158,29,70,130.65,5368.15,Two year,DSL,No internet,No,Yes,No,No internet,No internet,Yes,Credit card,0
CUST00159,51,4,107.29,1767.79,Month-to-month,Fiber optic,Yes,No,No,Yes,No internet,No,Yes,Mailed check,0
CUST00160,50,62,125.24,6920.87,Month-to-month,No,Yes,No,Yes,No internet,Yes,No,Yes,Bank transfer,1
CUST00161,65,62,119.67,3270.32,One year,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Credit card,0
CUST00162,72,24,39.46,2410.87,One year,DSL,No,No internet,No internet,No,Yes,Yes,No,Mailed check,0
CUST00163,40,55,75.11,1303.4,Month-to-month,Fiber optic,No internet,Yes,No internet,No,No,Yes,Yes,Electronic check,0
CUST00164,79,9,39.89,2202.73,Two year,No,No,Yes,Yes,Yes,Yes,No,No,Electronic check,0
CUST00165,41,3,50.58,274.01,One year,No,Yes,Yes,Yes,No,Yes,No,Yes,Mailed check,0
CUST00166,54,31,133.0,4707.73,Two year,Fiber optic,No internet,Yes,No,No internet,No internet,No internet,No,Bank transfer,0
CUST00167,52,40,81.48,6753.62,One year,Fiber optic,No,Yes,No,No internet,Yes,No internet,No,Mailed check,0
CUST00168,61,36,89.6,4436.95,One year,No,No internet,No,Yes,No,No internet,No internet,No,Electronic check,0
CUST00169,57,24,43.2,1832.26,Two year,Fiber optic,No,No,No internet,No internet,No internet,No internet,No,Electronic check,0
CUST00170,39,6,60.6,365.99,One year,No,Yes,No internet,Yes,No internet,No,No internet,No,Credit card,0
CUST00171,44,66,49.93,1795.56,One year,No,No,Yes,Yes,Yes,Yes,Yes,No,Bank transfer,0
CUST00172,52,4,46.8,3387.36,Two year,DSL,No internet,No internet,No internet,No internet,Yes,No internet,No,Mailed check,0
CUST00173,18,6,102.93,6100.93,One year,DSL,No internet,No,No internet,Yes,No internet,No internet,No,Electronic check,0
CUST00174,52,51,53.39,1583.96,One year,No,No internet,No,No,No,No,No,No,Electronic check,0
CUST00175,54,62,102.16,5786.35,One year,No,No internet,No,No,Yes,No,Yes,No,Electronic check,1
CUST00176,64,57,27.6,6948.77,Two year,No,Yes,Yes,No,No,Yes,No internet,No,Mailed check,0
CUST00177,31,66,38.43,3686.18,Month-to-month,No,No,Yes,No,No,No internet,No internet,Yes,Mailed check,0
CUST00178,20,8,55.69,6589.31,Two year,No,Yes,No,No internet,No,Yes,No internet,No,Bank transfer,1
CUST00179,18,26,97.62,4481.79,Month-to-month,No,Yes,No internet,Yes,No,Yes,No,Yes,Credit card,1
CUST00180,22,51,107.86,5133.02,One year,Fiber optic,Yes,No internet,No,No,Yes,No,No,Credit card,0
CUST00181,43,45,77.55,4257.6,Month-to-month,No,No internet,No,No,Yes,Yes,No,Yes,Credit card,0
CUST00182,72,44,77.95,3759.06,Two year,Fiber optic,No internet,No internet,No internet,No,No internet,No internet,Yes,Electronic check,0
CUST00183,31,5,114.19,1953.76,Two year,Fiber optic,No internet,No,No internet,No internet,No,No,Yes,Credit card,0
CUST00184,56,70,22.06,2495.23,One year,No,No,No internet,Yes,No internet,Yes,No internet,No,Electronic check,1
CUST00185,44,26,64.34,2390.76,Month-to-month,No,No internet,No,Yes,No,Yes,Yes,No,Bank transfer,0
CUST00186,26,68,126.43,4549.98,One year,Fiber optic,No,No internet,No internet,No internet,Yes,No internet,No,Electronic check,0
CUST00187,32,19,98.42,1047.63,One year,Fiber optic,No internet,Yes,No,Yes,Yes,No,No,Bank transfer,0
CUST00188,32,20,63.84,7342.65,Two year,No,No internet,No,No,Yes,No,Yes,Yes,Bank transfer,0
CUST00189,43,12,137.72,5793.18,Month-to-month,No,Yes,No,No,No,No,No internet,No,Credit card,0
CUST00190,59,47,120.44,3271.42,Month-to-month,Fiber optic,Yes,No internet,Yes,No,No,Yes,No,Credit card,1
CUST00191,77,1,54.44,1353.13,Month-to-month,Fiber optic,Yes,No,No,No,No,Yes,No,Electronic check,0
CUST00192,30,14,103.89,7067.74,Month-to-month,Fiber optic,No,No,No,No internet,Yes,Yes,No,Mailed check,0
CUST00193,68,64,97.45,6607.85,One year,DSL,No,No,No internet,No internet,No internet,No internet,No,Credit card,0
CUST00194,49,38,72.15,5801.6,One year,Fiber optic,No internet,Yes,No,Yes,No,No,No,Credit card,0
CUST00195,56,37,67.7,2245.22,Two year,DSL,No,Yes,No internet,No internet,No,No internet,No,Mailed check,0
CUST00196,66,11,64.66,3279.33,One year,No,No internet,No internet,No,Yes,Yes,No,No,Mailed check,1
CUST00197,69,3,100.23,911.71,One year,No,No,Yes,Yes,No internet,Yes,No internet,Yes,Credit card,0
CUST00198,78,33,77.51,1593.41,Two year,Fiber optic,No,No internet,No,Yes,Yes,No internet,Yes,Mailed check,1
CUST00199,49,6,128.14,6285.83,Two year,No,No,Yes,No,No,Yes,No internet,No,Electronic check,0
CUST00200,21,50,107.05,5748.81,Two year,No,Yes,No internet,No internet,No internet,No internet,No,No,Bank transfer,0
CUST00201,47,10,29.09,4788.54,One year,No,No,Yes,No internet,Yes,No internet,No internet,No,Bank transfer,0
CUST00202,54,5,103.22,7176.24,One year,No,Yes,Yes,No internet,No internet,No,Yes,No,Credit card,0
CUST00203,40,23,55.25,4707.81,Two year,DSL,Yes,No internet,No,No,No internet,No internet,Yes,Credit card,1
CUST00204,56,10,97.07,3789.05,Two year,DSL,No,No,No,Yes,No,Yes,Yes,Electronic check,0
CUST00205,62,44,108.42,2788.93,Two year,Fiber optic,No internet,No,Yes,No internet,No,No,No,Mailed check,0
CUST00206,32,2,50.01,7529.54,One year,Fiber optic,No internet,Yes,No,No internet,No internet,No,Yes,Credit card,0
CUST00207,60,13,79.39,753.45,One year,Fiber optic,No internet,No internet,Yes,No,No,No internet,Yes,Bank transfer,1
CUST00208,46,40,44.74,7454.01,Month-to-month,No,No,No,No internet,No,Yes,No internet,No,Electronic check,0
CUST00209,53,2,26.8,6631.05,One year,No,No internet,No internet,No internet,Yes,No,No internet,No,Electronic check,0
CUST00210,30,65,69.2,1126.45,One year,DSL,Yes,No,No internet,No internet,Yes,Yes,No,Mailed check,0
CUST00211,49,63,67.18,4563.38,One year,DSL,No internet,No internet,Yes,No internet,No internet,No,Yes,Credit card,0
CUST00212,24,17,149.41,6945.73,Two year,Fiber optic,No,Yes,No,No,No internet,Yes,Yes,Credit card,0
CUST00213,76,9,78.03,4617.29,One year,DSL,No internet,No internet,No internet,No,No,Yes,No,Electronic check,1
CUST00214,68,15,63.36,7266.88,Two year,DSL,Yes,No,No,Yes,Yes,No internet,No,Bank transfer,0
CUST00215,39,24,95.46,7549.57,Month-to-month,DSL,No,Yes,No,No internet,No,No internet,Yes,Credit card,0
CUST00216,45,38,31.54,3436.84,Month-to-month,DSL,No internet,No internet,No internet,No internet,No internet,Yes,Yes,Bank transfer,0
CUST00217,19,35,145.02,3080.78,Two year,DSL,No,No,Yes,Yes,No,Yes,No,Electronic check,0
CUST00218,59,49,102.54,7496.94,Two year,Fiber optic,No,Yes,No,Yes,No,No internet,Yes,Credit card,0
CUST00219,62,69,118.13,5433.61,Two year,Fiber optic,No,No internet,No internet,No,Yes,No internet,No,Bank transfer,1
CUST00220,79,62,42.16,1016.58,One year,DSL,No internet,No,No,No,No internet,Yes,No,Electronic check,1
CUST00221,74,60,73.23,434.1,Month-to-month,Fiber optic,No,No internet,No,Yes,No,No internet,Yes,Bank transfer,1
CUST00222,70,50,74.95,4560.57,Two year,No,No internet,No internet,No,Yes,Yes,No internet,Yes,Credit card,1
CUST00223,23,9,126.83,7448.35,One year,DSL,Yes,Yes,No,No internet,No,Yes,Yes,Mailed check,0
CUST00224,45,34,20.16,6769.56,Month-to-month,No,No internet,Yes,No,Yes,Yes,Yes,No,Bank transfer,0
CUST00225,45,35,59.11,5439.2,One year,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Mailed check,0
CUST00226,61,1,147.56,1199.02,Month-to-month,Fiber optic,No internet,Yes,Yes,No internet,No,Yes,No,Credit card,0
CUST00227,61,40,81.74,2108.43,One year,No,No,No,No internet,Yes,No internet,No internet,No,Mailed check,0
CUST00228,37,64,69.73,7016.54,Month-to-month,Fiber optic,No internet,No internet,Yes,No,No internet,Yes,No,Electronic check,0
CUST00229,47,22,35.58,1544.18,Month-to-month,DSL,No,No internet,Yes,No,Yes,Yes,No,Mailed check,0
CUST00230,79,60,146.64,2299.67,One year,No,Yes,No,Yes,No internet,No internet,Yes,Yes,Bank transfer,1
CUST00231,28,64,22.6,1123.85,Two year,DSL,No internet,No internet,No,Yes,Yes,No,No,Bank transfer,1
CUST00232,75,11,115.83,5441.26,Month-to-month,No,No,Yes,No,No,No internet,No,No,Mailed check,1
CUST00233,72,14,119.92,7557.46,Two year,Fiber optic,Yes,No internet,No internet,No,No,No internet,No,Electronic check,0
CUST00234,45,60,51.68,2224.85,One year,No,Yes,Yes,No internet,No,No internet,No,No,Credit card,0
CUST00235,42,30,107.3,3855.71,Two year,No,No internet,No,No internet,No,Yes,Yes,Yes,Mailed check,0
CUST00236,56,35,32.08,5111.28,Two year,DSL,Yes,No,No,Yes,Yes,No,No,Bank transfer,0
